เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"2167/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	0	1	0	0	"08/02/05 00:00:00"											0							
"2156/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	0	2	0	0	"08/02/05 00:00:00"											0							
"2165/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	0	1	0	0	"08/04/05 00:00:00"											0							
"2154/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	0	1	0	0	"08/04/05 00:00:00"											0							
"2243/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	0	1	0	0	"08/09/05 00:00:00"											0							
"2161/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/02/05 00:00:00"											0							
"1403/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/16/05 00:00:00"											0							
"1392/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/17/05 00:00:00"											0							
"1362/2548"	"ฟ้องศาล"	1	0	0	0	0	"05/13/05 00:00:00"											0							
"1484/2548"	"ฟ้องศาล"	0	0	0	0	0												0							
"ว.14743/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1474/2548"	"ฟ้องศาล"	0	4	4	0	0	"06/08/05 00:00:00"		"06/22/05 00:00:00"									0							
"1120/2548"				0	0	0												0							
"1131/2548"	"ฟ้องศาล"	0	0															0							
"ว.1483/2548"	"ฟ้องศาล"	1		0	0	0	"06/08/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1489/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/09/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1491/2548"	"ฟ้องศาล"	0	2	0	0	0	"06/09/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1492/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/09/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1524/2548"	"ส่งสำนวนคืนพนักงานสอบสวน วันที่  13  มิถุนายน  2548"	0	0		0	0	"06/13/05 00:00:00"											0							
"ว.1439/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/03/05 00:00:00"											0							
"ว.1540/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/16/05 00:00:00"											0							
"ว.1541/2548"	"ฟ้องศาล"	0	5	0	0	0	"06/16/05 00:00:00"											0							
"ว.1568/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/20/05 00:00:00"											0							
"ว.1569/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/20/05 00:00:00"											0							
"ว.1570/2548"	"ฟ้องศาล"	5	4	0	0	0	"06/20/05 00:00:00"											0							
"ว.1575/2548"	"ฟ้องศาล"	8	4	0	0	0	"06/21/05 00:00:00"											0							
"ว.1576/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/21/05 00:00:00"											0							
"ว.1571/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/21/05 00:00:00"											0							
"ว.1322/2548"	"ฟ้องศาล"	0	0	0	0	0	"05/20/05 00:00:00"											0							
"1788/2548"	"ฟ้องศาล"	0	0	1	0	0	"06/23/05 00:00:00"											0							
"ว.1591/2548"	"ฟ้องศาล"	2	1	0	0	0	"06/22/05 00:00:00"											0							
"ว.1589/2548"	"ฟ้องศาล"	1	0				"06/22/05 00:00:00"											0							
"ว.1587/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/22/05 00:00:00"											0							
"ว.1581/2548"	"ฟ้องศาล"	0	1	0	0	0	"06/22/05 00:00:00"											0							
"ว.1592/2548"	"ฟ้องศาล"	2	2	0	0	0	"06/22/05 00:00:00"											0							
"ว.1590/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/22/05 00:00:00"											0							
"ว.1582/2548"	"ฟ้องศาล"	0	1	0	0	0	"06/22/05 00:00:00"											0							
"ว.1584/2548"	"ฟ้องศาล"	0	1	0	0	0	"06/22/05 00:00:00"											0							
